Lambda_1 0.400% - Lambda_2 0.300%: MSE 3.813%, PICP 0.935%, MPIW 3.644%
Lambda_1 0.400% - Lambda_2 0.400%: MSE 0.924%, PICP 0.990%, MPIW 3.942%
Lambda_1 0.400% - Lambda_2 0.500%: MSE 0.736%, PICP 1.000%, MPIW 5.940%
Lambda_1 0.400% - Lambda_2 0.600%: MSE 0.865%, PICP 0.997%, MPIW 7.650%
Lambda_1 0.500% - Lambda_2 0.300%: MSE 0.641%, PICP 0.984%, MPIW 2.941%
Lambda_1 0.500% - Lambda_2 0.400%: MSE 1.031%, PICP 0.997%, MPIW 5.565%
Lambda_1 0.500% - Lambda_2 0.500%: MSE 0.753%, PICP 1.000%, MPIW 7.633%
Lambda_1 0.500% - Lambda_2 0.600%: MSE 0.851%, PICP 0.997%, MPIW 9.393%
Lambda_1 0.600% - Lambda_2 0.300%: MSE 0.718%, PICP 0.997%, MPIW 5.020%
Lambda_1 0.600% - Lambda_2 0.400%: MSE 0.688%, PICP 1.000%, MPIW 7.666%
Lambda_1 0.600% - Lambda_2 0.500%: MSE 0.681%, PICP 1.000%, MPIW 9.841%
Lambda_1 0.600% - Lambda_2 0.600%: MSE 0.690%, PICP 1.000%, MPIW 11.676%
Lambda_1 0.700% - Lambda_2 0.300%: MSE 0.560%, PICP 1.000%, MPIW 7.662%
Lambda_1 0.700% - Lambda_2 0.400%: MSE 0.778%, PICP 1.000%, MPIW 10.499%
Lambda_1 0.700% - Lambda_2 0.500%: MSE 0.920%, PICP 1.000%, MPIW 12.782%
Lambda_1 0.700% - Lambda_2 0.600%: MSE 0.728%, PICP 1.000%, MPIW 14.648%
Lambda_1 0.800% - Lambda_2 0.300%: MSE 0.772%, PICP 1.000%, MPIW 11.718%
Lambda_1 0.800% - Lambda_2 0.400%: MSE 0.630%, PICP 1.000%, MPIW 14.690%
Lambda_1 0.800% - Lambda_2 0.500%: MSE 0.491%, PICP 1.000%, MPIW 17.029%
Lambda_1 0.800% - Lambda_2 0.600%: MSE 0.600%, PICP 1.000%, MPIW 19.064%
Lambda_1 0.900% - Lambda_2 0.300%: MSE 0.637%, PICP 1.000%, MPIW 19.106%
